pid,creator,location,label,_date,description,current_location,source,order,layout,collection,thumbnail,manifest,full
obj25,,"Brooklyn, NY","In Response: ""Students for ""Students""",ca. 1970s,essay,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752146,24,protest_item,protest,"/img/derivatives/iiif/images/obj25_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj25/manifest.json,"/img/derivatives/iiif/images/obj25_1/full/1140,/0/default.jpg"
obj26,,"Brooklyn, NY","DRUM, Volume 1, Number 4","February 11, 1972","DRUM was a radical publication by the Black Students Union of Pratt in the early 70’s that published original articles, poetry, and artwork created by students for students. It addressed issues of minority representation, racism, and sexism within the institution and beyond.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28497516,25,protest_item,protest,"/img/derivatives/iiif/images/obj26_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj26/manifest.json,"/img/derivatives/iiif/images/obj26_1/full/1140,/0/default.jpg"
obj27,,"Brooklyn, NY","DRUM, 1977",1977,"DRUM was a radical publication by the Black Students Union of Pratt in the early 70’s that published original articles, poetry, and artwork created by students for students. It addressed issues of minority representation, racism, and sexism within the institution and beyond.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28497974,26,protest_item,protest,"/img/derivatives/iiif/images/obj27_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj27/manifest.json,"/img/derivatives/iiif/images/obj27_1/full/1140,/0/default.jpg"
obj28,,"Brooklyn, NY",Procedure for Witholding Tuition Checks,"September 1, 1972",announcement,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752147,27,protest_item,protest,"/img/derivatives/iiif/images/obj28_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj28/manifest.json,"/img/derivatives/iiif/images/obj28_1/full/1140,/0/default.jpg"
obj29,,"Brooklyn, NY",Strike Lives!,ca. 1970s,flier,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752154,28,protest_item,protest,"/img/derivatives/iiif/images/obj29/full/250,/0/default.jpg",/img/derivatives/iiif/obj29/manifest.json,"/img/derivatives/iiif/images/obj29/full/1140,/0/default.jpg"
obj30,,"Brooklyn, NY",The Dekalb Statement,ca. 1970s,press release,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752163,29,protest_item,protest,"/img/derivatives/iiif/images/obj30/full/250,/0/default.jpg",/img/derivatives/iiif/obj30/manifest.json,"/img/derivatives/iiif/images/obj30/full/1140,/0/default.jpg"
obj31,Boricuas unido,"Brooklyn, NY",Thrift Hall Takeover,ca. 1970s,press release,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752166,30,protest_item,protest,"/img/derivatives/iiif/images/obj31/full/250,/0/default.jpg",/img/derivatives/iiif/obj31/manifest.json,"/img/derivatives/iiif/images/obj31/full/1140,/0/default.jpg"
obj32,,"Brooklyn, NY",Week of May 8 in Review,ca. 1970s,schedule,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752162,31,protest_item,protest,"/img/derivatives/iiif/images/obj32/full/250,/0/default.jpg",/img/derivatives/iiif/obj32/manifest.json,"/img/derivatives/iiif/images/obj32/full/1140,/0/default.jpg"
obj33,Pratt Institute Students,"Brooklyn, NY",Workshop: Pratt and the Community,"March 28, 1969",poster,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752073,32,protest_item,protest,"/img/derivatives/iiif/images/obj33/full/250,/0/default.jpg",/img/derivatives/iiif/obj33/manifest.json,"/img/derivatives/iiif/images/obj33/full/1140,/0/default.jpg"
obj34,,"Brooklyn, NY",Free the 21! Open D4M Meeting,1970,flier,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752085,33,protest_item,protest,"/img/derivatives/iiif/images/obj34/full/250,/0/default.jpg",/img/derivatives/iiif/obj34/manifest.json,"/img/derivatives/iiif/images/obj34/full/1140,/0/default.jpg"
